Accession_ID,Dataset,DatasetLevel,BioSample
GCA_001720245.2,Cryptococcus,Complex,
GCA_000855695.1,Cryptococcus,Complex,
GCA_031841975.1,Cryptococcus,Complex,
GCA_006149155.1,Cryptococcus,Complex,
GCA_002954075.1,Cryptococcus,Complex,
GCA_002221985.1,Cryptococcus,Complex,
GCA_011801205.1,Cryptococcus,Complex,
GCA_000875795.1,Cryptococcus,Complex,
GCA_000835745.1,Cryptococcus,Complex,
GCA_000835765.1,Cryptococcus,Complex,
GCA_000935105.1,Cryptococcus,Complex,
GCA_002215825.1,Cryptococcus,Complex,
GCA_000185945.1,Cryptococcus,Complex,
GCA_000786445.1,Cryptococcus,Complex,
GCA_009650685.1,Cryptococcus,Complex,
GCA_000836315.1,Cryptococcus,Complex,
GCA_000499585.1,Cryptococcus,Complex,
GCA_001720195.2,Cryptococcus,Complex,
GCA_001720235.1,Cryptococcus,Complex,
GCA_000836335.2,Cryptococcus,Complex,
GCA_012922885.1,Cryptococcus,Complex,
GCA_002222475.1,Cryptococcus,Complex,
GCA_002224005.1,Cryptococcus,Complex,
GCA_002215855.1,Cryptococcus,Complex,
GCA_002222295.1,Cryptococcus,Complex,
GCA_002222455.1,Cryptococcus,Complex,
GCA_002222395.1,Cryptococcus,Complex,
GCA_000149245.3,Cryptococcus,Complex,
GCA_000836455.1,Cryptococcus,Complex,
GCA_032464415.1,Cryptococcus,Complex,
